name,dataset,model,k,percent,n_check,T_stop,ari
n_check,HAR,1,25,0.1,5,3,0.5404149143679524
n_check,HAR,1,25,0.1,6,3,0.5383748246450168
n_check,HAR,1,25,0.1,7,3,0.5189096585751434
T_stop,HAR,1,25,0.1,3,3,0.5351600772534081
T_stop,HAR,1,25,0.1,3,5,0.5256612421590724
T_stop,HAR,1,25,0.1,3,7,0.5211144372573567
T_stop,HAR,1,25,0.1,3,9,0.5261311874080465
T_stop,HAR,1,25,0.1,3,11,0.5257695282174887
T_stop,HAR,1,25,0.1,3,13,0.5278888636944987
k,USPS,1,5,0.1,3,3,0.6820257414579514
k,USPS,1,15,0.1,3,3,0.7634870972206157
k,USPS,1,25,0.1,3,3,0.752327021262248
k,USPS,1,35,0.1,3,3,0.7703043684514996
k,USPS,1,45,0.1,3,3,0.6488794412224181
percent,USPS,1,25,0.05,3,3,0.7701548294895139
percent,USPS,1,25,0.075,3,3,0.7622722139633784
percent,USPS,1,25,0.1,3,3,0.752327021262248
percent,USPS,1,25,0.125,3,3,0.7535363190938295
percent,USPS,1,25,0.15,3,3,0.7102187498262996
percent,USPS,1,25,0.175,3,3,0.6797003176200216
percent,USPS,1,25,0.2,3,3,0.6812089661434741
percent,USPS,1,25,0.225,3,3,0.697716554764041
percent,USPS,1,25,0.25,3,3,0.6198292096132688
n_check,USPS,1,25,0.1,2,3,0.7710203502682199
n_check,USPS,1,25,0.1,3,3,0.752327021262248
n_check,USPS,1,25,0.1,4,3,0.7561658187797051
n_check,USPS,1,25,0.1,5,3,0.7511000034750192
n_check,USPS,1,25,0.1,6,3,0.7600194223959315
n_check,USPS,1,25,0.1,7,3,0.750062692739229
T_stop,USPS,1,25,0.1,3,3,0.752327021262248
T_stop,USPS,1,25,0.1,3,5,0.7525958143328668
T_stop,USPS,1,25,0.1,3,7,0.7517998525928726
T_stop,USPS,1,25,0.1,3,9,0.7492794328894998
T_stop,USPS,1,25,0.1,3,11,0.7486631507617965
T_stop,USPS,1,25,0.1,3,13,0.7495229746818313
k,mice,2,5,0.1,3,3,0.3111893963071373
k,mice,2,15,0.1,3,3,0.27631985089546157
k,mice,2,25,0.1,3,3,0.2064542062673354
k,mice,2,35,0.1,3,3,0.20953072291658234
k,mice,2,45,0.1,3,3,0.2119326882592589
percent,mice,2,25,0.05,3,3,0.26963542929187256
percent,mice,2,25,0.075,3,3,0.2540685678532325
percent,mice,2,25,0.1,3,3,0.2064542062673354
percent,mice,2,25,0.125,3,3,0.19652393502077914
percent,mice,2,25,0.15,3,3,0.1880061325006044
percent,mice,2,25,0.175,3,3,0.1845129166192614
percent,mice,2,25,0.2,3,3,0.170215063973432
percent,mice,2,25,0.225,3,3,0.19463369923960133
percent,mice,2,25,0.25,3,3,0.198433851326095
n_check,mice,2,25,0.1,2,3,0.2266647441488095
n_check,mice,2,25,0.1,3,3,0.2064542062673354
n_check,mice,2,25,0.1,4,3,0.20366028850674758
n_check,mice,2,25,0.1,5,3,0.21835590807102467
n_check,mice,2,25,0.1,6,3,0.22257982209554975
n_check,mice,2,25,0.1,7,3,0.22649532944035133
T_stop,mice,2,25,0.1,3,3,0.2064542062673354
T_stop,mice,2,25,0.1,3,5,0.20473116627292778
T_stop,mice,2,25,0.1,3,7,0.2047787810076644
T_stop,mice,2,25,0.1,3,9,0.20480536088066634
T_stop,mice,2,25,0.1,3,11,0.20423061454579208
T_stop,mice,2,25,0.1,3,13,0.20584320245124815
k,optdigits,2,5,0.1,3,3,0.8685135695011957
k,optdigits,2,15,0.1,3,3,0.87060206509924
k,optdigits,2,25,0.1,3,3,0.872263921086555
k,optdigits,2,35,0.1,3,3,0.8585662366443887
k,optdigits,2,45,0.1,3,3,0.8568148768404825
percent,optdigits,2,25,0.05,3,3,0.8625042983349234
percent,optdigits,2,25,0.075,3,3,0.870440654569376
percent,optdigits,2,25,0.1,3,3,0.872263921086555
percent,optdigits,2,25,0.125,3,3,0.8693705791358177
percent,optdigits,2,25,0.15,3,3,0.8694723338906807
percent,optdigits,2,25,0.175,3,3,0.8676689480152787
percent,optdigits,2,25,0.2,3,3,0.8687522397096618
percent,optdigits,2,25,0.225,3,3,0.8529660972437377
percent,optdigits,2,25,0.25,3,3,0.8490952914566924
n_check,optdigits,2,25,0.1,2,3,0.8688455993744798
n_check,optdigits,2,25,0.1,3,3,0.872263921086555
n_check,optdigits,2,25,0.1,4,3,0.8725742819280154
n_check,optdigits,2,25,0.1,5,3,0.8720415907467644
